Date Sample Collected,Time Sample Collected,Temperature,Dissolved Oxygen,pH,E.Cond.,Secchi Depth,Salinity (Field),E. coli,Thermotolerant coliforms,Intestinal enterococci,Chlorophyll a,Chloro-a Phenophytin ratio,BOD5,Suspended Solids,Organic Carbon - Total,Ammonia as N,Nitrate + Nitrite as N,Phosphate as P,Total Nitrogen as N,Total Phosphorus as P,TKN as N (TN-NOX)
2014-02-20T00:00:00,07:45:00,28.9,5.7,7.6,47800,0.8,31.1,5 EST,23,5 EST,7.5,1.1,<3,18,13,<0.005,<0.005,0.068,0.43,0.12,0.43
2014-02-20T00:00:00,08:13:00,28.9,4.7,7.6,47300,0.8,30.8,5 EST,28,2 EST,7.5,1.1,<3,27,12,<0.005,<0.005,0.078,0.42,0.13,0.42
2014-02-20T00:00:00,08:40:00,29.2,4.2,7.5,45100,0.8,29.2,8 EST,35,3 EST,8.5,1.1,<3,25,16,<0.005,<0.005,0.087,0.43,0.14,0.43
2014-02-20T00:00:00,09:00:00,29.4,5.4,7.5,44100,0.9,28.5,6 EST,39,4 EST,7.5,1.1,<3,29,13,<0.005,<0.005,0.084,0.44,0.14,0.44
2014-02-20T00:00:00,09:40:00,29.5,6.9,7.5,42700,0.9,27.4,10,23,2 EST,12,1.1,<3,21,14,<0.005,<0.005,0.13,0.47,0.19,0.47
2014-02-20T00:00:00,10:10:00,29.5,4.8,7.5,45000,0.9,29.1,11,30,<1,11,1.1,<3,30,15,<0.005,<0.005,0.087,0.48,0.14,0.48
2014-02-20T00:00:00,10:35:00,29.6,4.3,7.4,42900,0.9,27.6,3 EST,20,1 EST,13,1.1,<3,18,13,<0.005,<0.005,0.071,0.47,0.13,0.47
2014-02-20T00:00:00,11:00:00,30.2,5.6,7.5,40400,0.9,25.8,13,25,<1,14,1.2,<3,12,14,<0.005,<0.005,0.053,0.44,0.11,0.44
2014-03-05T00:00:00,07:45:00,25.9,6,7.6,48500,0.7,31.6,4 EST,4 EST,2 EST,5.3,1.1,3,16,14,0.01,<0.005,0.064,0.5,0.13,0.5
2014-03-05T00:00:00,08:00:00,26,5.3,7.6,48300,0.7,31.5,7 EST,8 EST,3 EST,7.5,1.1,3,14,11,0.006,<0.005,0.069,0.48,0.13,0.48
2014-03-05T00:00:00,08:20:00,26.3,4.8,7.6,45400,0.75,29.4,5 EST,10 EST,3 EST,7.5,1.1,3,11,16,0.005,0.008,0.072,0.52,0.13,0.51
